UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
131,M10130,M,296.9,307.2,1717,31.6,92,0
132,M10131,L,300.1,309.1,1857,42.5,39,0
133,M10132,H,297.9,307.0,1464,58.9,236,0
134,M10133,L,300.9,310.7,1450,55.0,161,0
135,M10134,L,298.2,307.1,1596,42.4,238,0
136,M10135,L,303.1,312.6,1506,47.7,147,0
137,M10136,L,298.4,307.2,1596,32.8,16,0
138,M10137,M,299.4,307.5,1819,54.5,8,0
139,M10138,L,301.6,312.6,1453,24.5,228,0
140,M10139,L,297.5,306.2,1484,49.0,10,0
141,M10140,L,300.5,310.3,1570,44.9,156,0
142,M10141,L,302.6,313.4,1498,32.5,75,0
143,M10142,M,296.8,306.2,1196,37.9,174,0
144,M10143,M,300.4,309.5,1435,28.8,72,0
145,M10144,M,300.5,310.7,1662,29.2,9,0
146,M10145,M,301.6,312.7,1796,24.2,185,0
147,M10146,L,297.5,306.4,1332,47.6,79,0
148,M10147,M,297.4,307.2,1331,51.9,139,0
149,M10148,M,301.0,309.3,1544,18.6,196,0
150,M10149,L,300.6,310.2,1167,58.2,178,0
151,M10150,L,300.5,310.5,1459,39.9,88,0
152,M10151,L,300.7,309.8,1228,42.9,189,0
153,M10152,L,298.6,308.2,1784,25.4,234,0
154,M10153,L,300.5,309.1,1401,53.1,154,0
155,M10154,L,300.6,310.7,1835,42.0,178,0
156,M10155,L,298.6,309.6,1738,51.3,219,0
157,M10156,L,303.7,312.6,1423,52.1,213,0
158,M10157,L,300.9,310.3,1347,53.2,89,0
159,M10158,L,297.6,308.1,1504,33.6,251,0
160,M10159,M,301.3,312.5,1520,37.9,7,0
161,M10160,L,298.1,306.6,1601,33.9,250,0
162,M10161,H,301.6,311.4,1400,48.9,62,0
163,M10162,H,302.3,312.6,1673,43.3,111,0
164,M10163,M,298.4,308.3,1586,50.6,224,0
165,M10164,L,301.9,309.4,1478,51.0,62,0
166,M10165,H,300.8,311.3,1412,22.9,57,0
167,M10166,L,301.6,313.2,1506,53.4,163,0
168,M10167,L,303.8,313.9,1393,49.4,178,0
169,M10168,M,299.5,308.5,1549,36.3,2,0
170,M10169,L,298.5,308.0,1554,43.5,114,0
171,M10170,M,298.2,310.0,1586,38.8,124,0
172,M10171,M,298.4,309.3,1855,46.1,69,0
173,M10172,L,299.8,310.5,1515,36.3,138,0
174,M10173,L,300.7,311.0,1719,44.7,39,0
175,M10174,H,300.6,309.9,1580,40.7,82,0
176,M10175,M,301.7,311.5,1496,35.7,180,0
177,M10176,L,300.0,309.9,1518,41.9,221,0
178,M10177,M,302.9,313.5,1528,66.8,149,0
179,M10178,L,299.5,311.0,1589,33.2,19,0
180,M10179,H,305.4,316.6,1367,37.5,172,0
181,M10180,L,301.3,309.8,1277,33.4,227,1
182,M10181,H,298.3,308.5,1656,34.4,128,0
183,M10182,H,297.9,308.6,1700,48.1,125,0
184,M10183,H,301.0,311.6,1672,47.1,251,0
185,M10184,L,299.6,308.9,1567,39.9,161,0
186,M10185,H,301.4,314.3,1676,50.2,204,0
187,M10186,L,300.9,309.7,1667,47.9,164,0
188,M10187,L,299.9,308.8,1680,38.4,56,0
189,M10188,L,298.3,308.5,1385,24.8,72,0
190,M10189,M,297.0,309.1,1343,48.2,168,0
191,M10190,M,299.1,308.3,1469,41.7,115,0
192,M10191,M,301.7,311.4,1536,40.2,102,0
193,M10192,H,300.4,311.5,1496,35.4,6,0
194,M10193,L,297.5,307.5,1203,47.4,224,0
195,M10194,L,300.3,310.0,1847,43.5,224,0
196,M10195,M,300.8,311.3,1490,37.7,117,0
197,M10196,M,298.2,308.5,1570,27.9,177,0
198,M10197,L,300.3,311.3,1762,50.6,45,0
199,M10198,H,300.1,311.4,1119,46.0,127,0
200,M10199,L,297.7,308.0,1447,42.5,111,0
201,M10200,M,300.7,311.0,1470,13.7,166,0
202,M10201,L,301.1,311.3,1479,39.6,119,0
203,M10202,L,302.2,312.7,1508,37.6,126,0
204,M10203,H,302.1,312.2,1798,33.9,75,0
205,M10204,L,297.2,307.2,1660,47.5,12,0
206,M10205,H,298.1,309.3,1710,47.1,232,0
207,M10206,L,301.0,312.5,1547,44.3,3,0
208,M10207,M,301.0,309.5,1289,50.3,71,0
209,M10208,M,301.0,311.0,1167,29.9,113,0
210,M10209,L,307.7,317.0,1265,35.5,81,0
211,M10210,H,301.1,310.8,1603,40.7,140,0
212,M10211,L,302.3,312.7,1545,33.8,117,0
213,M10212,M,301.9,312.6,1501,47.2,65,0
214,M10213,H,301.3,311.2,1473,34.8,22,0
215,M10214,L,299.4,307.5,1899,52.9,35,0
216,M10215,M,301.5,310.6,1392,30.8,123,0
217,M10216,L,298.5,309.4,1705,61.1,214,0
218,M10217,L,299.5,306.8,1539,60.1,25,0
219,M10218,L,299.0,310.2,1528,39.1,171,0
220,M10219,H,300.2,310.7,1750,51.3,200,0
221,M10220,L,304.6,315.9,1801,36.0,70,0
222,M10221,L,296.3,306.1,1496,50.0,169,0
223,M10222,H,301.4,309.3,1682,38.3,174,1
224,M10223,L,296.8,307.2,1604,27.3,179,0
225,M10224,M,299.1,310.3,1540,5.0,225,0
226,M10225,M,302.2,313.1,1576,37.3,101,0
227,M10226,M,300.1,309.5,1416,42.8,62,0
228,M10227,L,297.8,307.9,1484,53.2,138,0
229,M10228,M,298.6,308.0,1435,40.4,16,0
230,M10229,H,301.4,310.5,1700,49.9,84,0
231,M10230,L,298.5,309.5,1522,35.5,223,0
232,M10231,L,300.4,309.2,1307,36.7,135,0
233,M10232,H,300.1,309.2,1410,50.4,110,0
234,M10233,L,298.7,307.6,966,15.6,67,0
235,M10234,L,304.3,312.8,1450,40.1,63,0
236,M10235,L,301.3,311.4,1546,36.0,60,0
237,M10236,L,295.9,307.1,1515,53.5,210,0
238,M10237,L,300.4,310.2,1893,34.8,249,0
239,M10238,L,298.7,307.2,1642,45.1,135,0
240,M10239,L,301.7,312.5,1634,49.1,20,0
241,M10240,H,298.4,310.1,1245,25.2,190,0
242,M10241,M,299.8,309.1,1474,38.6,222,0
243,M10242,L,301.0,310.5,1452,35.7,236,0
244,M10243,L,301.7,312.2,1398,49.4,159,0
245,M10244,H,297.6,309.2,1396,46.7,128,0
246,M10245,H,299.3,308.8,1215,37.7,157,0
247,M10246,H,299.1,307.7,1311,29.6,3,0
248,M10247,H,298.7,309.3,1695,50.3,166,0
249,M10248,M,303.5,314.3,1513,39.3,180,0
250,M10249,L,300.8,310.8,1448,24.0,183,0
251,M10250,H,297.5,306.9,1538,24.8,142,0
252,M10251,M,301.8,312.8,1748,44.3,177,0
253,M10252,M,304.2,314.8,1540,27.4,162,0
254,M10253,M,302.1,311.3,1636,58.4,29,0
255,M10254,M,297.0,307.0,1387,30.7,227,0
256,M10255,M,299.0,307.7,1428,40.0,158,0
257,M10256,L,302.5,313.2,1602,41.6,184,0
258,M10257,L,298.6,308.3,1878,32.8,87,0
259,M10258,L,300.9,310.5,1795,17.8,233,0
260,M10259,M,301.5,311.5,1643,41.9,127,0
261,M10260,H,298.1,308.2,1566,32.5,172,0
262,M10261,L,299.9,310.8,1790,41.2,241,0
263,M10262,H,293.5,304.1,1681,38.8,232,0
264,M10263,L,298.0,307.8,1128,42.6,163,0
265,M10264,H,299.5,310.3,1350,55.5,42,1
266,M10265,L,297.5,307.9,1600,34.6,240,1
267,M10266,M,303.3,312.8,1219,35.4,249,0
268,M10267,L,297.1,307.0,1378,23.5,26,0
269,M10268,L,299.1,309.0,1414,38.1,114,0
270,M10269,L,300.3,310.8,1493,44.1,139,0
271,M10270,M,302.9,312.5,1488,35.2,23,0
272,M10271,L,297.1,306.7,1487,44.1,48,0
273,M10272,H,302.3,314.3,1687,38.2,136,0
274,M10273,M,300.0,311.0,1492,27.1,244,0
275,M10274,L,298.0,307.3,1470,43.1,7,0
276,M10275,M,300.9,311.5,1297,38.0,231,0
277,M10276,L,300.4,310.5,1722,41.2,227,0
278,M10277,M,298.8,309.2,1419,34.4,217,0
279,M10278,M,300.1,310.3,1344,33.5,96,0
280,M10279,L,299.2,310.4,1577,41.6,124,0
281,M10280,M,300.2,310.6,1402,37.7,102,0
282,M10281,L,301.3,311.3,1445,57.1,240,0
283,M10282,L,303.2,314.2,1585,47.9,132,0
284,M10283,M,297.5,307.8,1481,45.4,20,0
285,M10284,L,304.3,314.4,1953,38.2,69,0
286,M10285,L,296.1,306.4,1526,19.9,117,0
287,M10286,L,299.7,309.6,1650,32.0,241,0
288,M10287,M,301.2,311.2,1191,33.6,144,0
289,M10288,L,300.6,310.0,1385,37.3,176,0
290,M10289,H,298.8,308.0,1344,39.7,22,0
291,M10290,M,299.6,308.6,1368,46.5,222,0
292,M10291,M,299.0,307.6,1613,42.7,136,0
293,M10292,L,298.8,307.9,1724,51.5,233,0
294,M10293,L,301.7,311.5,1601,36.9,113,0
295,M10294,H,300.7,310.8,1498,42.5,173,1
296,M10295,L,298.6,308.3,1426,43.4,119,0
297,M10296,L,301.8,309.4,1738,42.4,36,0
298,M10297,L,300.6,312.2,1910,52.7,69,0
299,M10298,L,301.6,312.7,1563,48.0,17,0
300,M10299,L,301.3,311.7,1707,26.9,111,0
301,M10300,H,298.3,310.2,1600,38.9,164,0
302,M10301,L,298.9,307.9,1674,39.9,62,0
303,M10302,H,301.5,313.4,1331,61.3,124,0
304,M10303,L,301.2,310.3,1452,36.7,116,0
305,M10304,H,300.0,310.2,1610,30.3,135,0
306,M10305,M,300.2,309.0,1756,44.3,47,0
307,M10306,L,302.6,312.6,1393,44.9,135,0
308,M10307,M,298.8,309.2,1175,39.3,92,0
309,M10308,L,301.1,310.9,1450,37.8,72,0
310,M10309,H,299.6,310.3,1720,49.4,148,0
311,M10310,H,299.6,309.7,1255,31.5,37,0
312,M10311,L,302.2,311.7,1328,36.6,228,0
313,M10312,L,301.7,311.1,1567,34.8,237,0
314,M10313,M,301.6,312.4,1518,50.8,167,0
315,M10314,M,302.6,312.0,1645,42.8,77,0
316,M10315,L,300.0,311.0,1319,29.5,158,0
317,M10316,L,301.4,312.6,1481,30.5,152,0
318,M10317,H,299.4,307.7,1753,58.5,99,0
319,M10318,L,300.6,311.8,1325,50.7,73,0
320,M10319,L,299.7,311.8,1803,48.3,43,0
321,M10320,L,300.2,310.4,1348,40.1,55,0
322,M10321,L,301.2,311.8,1691,54.9,165,0
323,M10322,M,298.4,309.4,1472,29.1,224,0
324,M10323,M,304.2,313.9,1334,47.5,97,0
325,M10324,M,298.0,308.2,1450,35.6,31,0
326,M10325,M,297.6,306.3,1637,37.5,3,0
327,M10326,H,302.3,312.5,1538,47.2,103,0
328,M10327,L,301.6,312.1,1739,38.6,59,0
329,M10328,L,301.2,311.8,1796,35.7,82,0
330,M10329,L,301.3,312.3,1327,35.1,61,0
331,M10330,H,300.0,309.2,1314,20.3,168,0
332,M10331,M,298.2,307.7,1305,47.6,162,0
333,M10332,L,300.2,312.0,1378,30.0,231,0
334,M10333,L,298.6,308.5,1737,58.4,177,0
335,M10334,H,302.0,312.2,1639,37.2,42,0
336,M10335,L,299.7,309.6,1441,53.0,190,0
337,M10336,L,298.3,307.5,1537,22.1,46,0
338,M10337,M,299.4,311.0,1790,47.2,141,0
339,M10338,H,300.8,310.3,1881,49.8,20,0
340,M10339,L,298.9,307.7,1585,52.9,12,0
341,M10340,M,298.4,307.9,1063,24.9,117,0
342,M10341,L,300.5,308.5,1592,33.0,27,0
343,M10342,M,300.5,309.8,1706,45.7,78,0
344,M10343,M,299.0,308.0,1579,41.5,86,0
345,M10344,H,299.1,309.7,1669,42.9,195,0
346,M10345,L,300.5,309.8,1603,36.4,84,0
347,M10346,M,297.1,308.0,1318,55.4,125,0
348,M10347,M,297.2,308.6,1380,65.8,195,0
349,M10348,H,298.6,309.3,1482,41.0,52,0
350,M10349,M,299.6,309.4,1730,44.5,204,0
351,M10350,L,300.6,310.8,1402,40.6,210,0
352,M10351,L,303.0,311.4,1621,52.7,250,0
353,M10352,H,301.7,311.6,1593,48.2,112,0
354,M10353,H,299.7,308.8,1823,29.4,94,0
355,M10354,L,300.0,310.7,1532,33.9,178,0
356,M10355,L,298.0,310.6,1225,30.0,15,0
357,M10356,M,300.0,310.5,1655,66.7,10,0
358,M10357,L,299.4,307.4,1922,46.3,85,0
359,M10358,L,300.6,310.3,1667,34.1,185,0
360,M10359,L,298.3,308.5,1398,33.3,29,0
361,M10360,M,301.0,311.1,1345,48.0,161,0
362,M10361,H,303.1,312.3,1368,49.0,68,0
363,M10362,L,299.8,310.0,1898,47.9,165,0
364,M10363,H,300.8,309.6,1480,35.8,116,0
365,M10364,M,301.4,310.4,1420,43.0,29,0
366,M10365,H,299.2,309.8,1511,41.1,63,0
367,M10366,L,300.4,309.4,1482,30.7,56,0
368,M10367,L,300.0,310.6,1820,30.8,42,0
369,M10368,L,300.2,308.8,1357,44.1,118,0
370,M10369,L,298.5,310.2,1750,41.9,242,0
371,M10370,H,300.0,309.3,1561,45.5,166,0
372,M10371,H,301.0,310.8,1755,47.8,212,0
373,M10372,M,302.9,313.2,1822,54.8,248,0
374,M10373,L,301.9,311.4,1554,32.3,137,0
375,M10374,L,304.3,314.4,1483,46.2,60,0
376,M10375,L,298.5,309.0,1551,47.4,235,0
377,M10376,M,301.7,312.7,1522,36.9,177,0
378,M10377,L,300.4,311.2,1242,41.2,243,0
379,M10378,H,304.4,314.2,1817,37.2,165,0
380,M10379,L,298.4,308.2,1583,60.9,196,0
381,M10380,L,298.3,310.7,1331,41.0,225,0
382,M10381,H,298.8,309.8,1169,44.5,192,0
383,M10382,M,295.8,304.8,1122,37.4,142,0
384,M10383,M,298.9,309.0,1677,35.3,119,0
385,M10384,H,298.5,308.1,1428,27.1,208,0
386,M10385,H,300.3,310.2,1458,50.9,195,0
387,M10386,H,300.7,309.5,1626,47.6,93,0
388,M10387,H,303.8,313.3,1447,37.0,126,0
389,M10388,L,301.9,313.7,1637,31.1,161,0
390,M10389,M,298.8,309.4,1556,41.8,7,0
391,M10390,M,298.2,305.7,1524,35.1,63,0
392,M10391,M,301.0,312.2,1257,37.8,63,0
393,M10392,M,297.4,308.4,1392,27.5,223,0
394,M10393,H,303.7,313.3,1647,42.1,84,0
395,M10394,L,302.4,313.1,1417,42.3,138,0
396,M10395,M,299.1,308.2,1755,50.8,210,0
397,M10396,M,296.6,306.1,1959,38.5,66,0
398,M10397,L,302.7,314.2,1656,36.7,31,0
399,M10398,L,299.8,309.5,1806,24.6,240,0
400,M10399,M,302.5,310.6,1668,50.9,178,0
401,M10400,H,296.8,306.7,1443,48.8,45,0
402,M10401,M,298.8,308.7,1575,40.3,207,0
403,M10402,L,300.0,311.2,1899,26.8,199,0
404,M10403,M,300.1,310.1,1445,28.0,212,0
405,M10404,H,299.1,308.7,1353,34.6,70,0
406,M10405,L,301.2,312.3,1336,49.6,113,0
407,M10406,M,297.9,308.0,1500,42.9,175,0
408,M10407,M,299.7,309.0,1359,25.2,99,0
409,M10408,M,300.2,311.4,1839,44.0,18,0
410,M10409,L,301.0,311.2,1578,31.7,35,0
411,M10410,H,301.4,311.4,1713,34.8,151,0
412,M10411,L,297.8,307.9,1486,49.6,95,0
413,M10412,L,296.9,305.9,1335,47.6,1,0
414,M10413,L,302.6,312.0,1305,50.8,194,0
415,M10414,M,300.7,310.7,1376,39.8,105,0
416,M10415,M,298.5,308.3,1601,48.7,79,0
417,M10416,L,303.1,314.4,1632,34.2,181,0
418,M10417,L,300.2,310.4,1647,37.5,115,0
419,M10418,L,302.4,313.2,1273,36.8,176,0
420,M10419,M,300.1,310.1,1539,40.2,3,0
421,M10420,H,304.1,315.2,1355,27.3,2,1
422,M10421,L,303.5,313.9,1611,37.8,142,0
423,M10422,M,299.5,309.5,1625,54.4,248,0
424,M10423,L,301.9,311.9,1329,29.2,69,0
425,M10424,M,301.3,310.3,1712,26.8,173,0
426,M10425,M,302.7,313.2,1958,27.6,44,0
427,M10426,M,298.1,308.0,1688,66.4,79,0
428,M10427,L,301.4,310.9,1510,44.6,20,0
429,M10428,H,302.1,313.2,1482,37.3,223,0
430,M10429,H,296.5,305.2,1502,40.7,79,0
431,M10430,H,297.6,307.2,1403,42.3,58,0
432,M10431,L,295.9,306.9,1584,33.7,185,0
433,M10432,L,299.5,309.8,1335,34.9,50,0
434,M10433,M,301.4,311.4,1201,38.4,61,0
435,M10434,M,303.0,313.3,1578,32.8,26,0
436,M10435,H,300.1,310.3,1543,36.1,244,0
437,M10436,L,303.3,311.7,1437,43.5,63,0
438,M10437,H,297.2,306.9,1309,30.1,252,0
439,M10438,M,296.6,308.2,1591,65.8,45,0
440,M10439,L,299.9,309.2,1362,47.5,5,0
441,M10440,L,300.8,310.4,1514,27.4,227,0
442,M10441,H,299.9,309.4,1855,15.5,147,0
443,M10442,L,295.9,305.8,1656,33.2,89,0
444,M10443,M,299.8,309.2,1294,46.8,130,0
445,M10444,M,297.4,307.9,1311,44.9,66,0
446,M10445,L,301.3,311.5,1566,38.9,161,0
447,M10446,M,300.7,311.5,1293,34.0,156,0
448,M10447,L,298.1,307.1,1181,31.0,20,1
449,M10448,M,299.0,308.6,1634,36.0,230,0
450,M10449,L,297.9,307.7,1596,30.0,117,0
451,M10450,L,299.9,310.3,1620,36.1,49,0
452,M10451,M,301.9,311.1,1586,53.2,78,0
453,M10452,H,298.0,308.9,1527,32.4,219,0
454,M10453,L,301.0,312.2,1420,46.0,97,0
455,M10454,M,298.9,308.0,1631,47.6,142,0
456,M10455,L,298.4,307.9,1813,29.3,240,0
457,M10456,H,299.8,309.3,1449,31.7,165,0
458,M10457,H,297.9,310.6,1356,50.6,171,0
459,M10458,L,298.9,308.5,1336,30.8,63,0
460,M10459,L,297.6,309.3,1384,39.4,169,0
461,M10460,H,303.9,312.7,1575,60.2,100,0
462,M10461,M,300.1,309.1,1156,49.7,230,0
463,M10462,L,298.6,307.9,1618,40.8,33,0
464,M10463,L,300.4,309.6,1654,48.3,72,0
465,M10464,M,299.8,309.5,1217,39.4,17,0
466,M10465,M,299.6,308.8,1364,50.1,96,0
467,M10466,L,301.2,310.4,1553,19.7,38,0
468,M10467,L,301.5,312.7,1513,38.6,214,0
469,M10468,L,298.9,310.2,1632,19.3,234,0
470,M10469,L,298.8,309.8,1514,41.6,169,0
471,M10470,L,299.4,310.0,1765,37.7,26,0
472,M10471,L,295.4,305.5,1482,53.5,86,0
473,M10472,L,297.0,306.5,1363,47.0,244,0
474,M10473,H,302.7,311.8,1349,34.8,34,0
475,M10474,L,303.3,313.7,1671,36.0,141,0
476,M10475,H,299.5,308.3,1544,43.8,89,0
477,M10476,M,301.2,310.2,1652,34.3,253,0
478,M10477,M,300.6,311.8,1649,39.7,72,0
479,M10478,H,306.2,318.1,1177,53.0,12,0
480,M10479,L,302.2,312.6,1335,31.8,178,0
481,M10480,M,299.7,310.9,1356,35.6,83,0
482,M10481,M,298.1,307.8,1393,37.0,166,0
483,M10482,H,296.8,305.4,1464,71.3,26,0
484,M10483,L,300.4,311.0,1718,46.0,132,0
485,M10484,L,298.5,309.1,1754,51.2,95,0
486,M10485,H,297.2,307.2,1487,47.6,136,0
487,M10486,L,298.7,308.5,1494,48.3,216,0
488,M10487,H,297.8,308.8,1413,44.7,246,0
489,M10488,H,303.4,312.4,1555,43.6,191,0
490,M10489,L,301.8,311.0,1575,25.6,194,0
491,M10490,L,300.0,309.0,1683,43.5,134,0
492,M10491,L,303.0,313.0,1682,38.9,25,0
493,M10492,L,300.2,309.1,1127,45.4,169,0
494,M10493,L,298.3,307.6,1512,39.3,37,0
495,M10494,H,303.0,312.3,1787,47.6,62,0
496,M10495,M,301.1,310.8,1461,49.3,179,0
497,M10496,L,297.9,306.4,1743,11.2,166,0
498,M10497,L,299.6,309.7,1484,35.7,80,0
499,M10498,M,298.2,309.5,1570,21.6,195,0
500,M10499,L,297.2,307.4,1335,42.4,238,0
501,M10500,M,301.9,313.4,1342,37.0,138,0
502,M10501,M,303.8,315.2,1669,53.4,171,0
503,M10502,H,297.2,308.0,1697,42.1,69,0
504,M10503,M,301.1,311.2,1544,35.2,246,0
505,M10504,L,298.7,308.7,1319,49.3,69,0
506,M10505,L,299.0,309.8,1547,36.8,225,0
507,M10506,L,298.8,308.4,1764,35.1,235,0
508,M10507,L,298.3,306.4,1851,43.9,182,0
509,M10508,L,300.1,310.6,1482,56.0,205,0
510,M10509,L,298.3,307.2,1242,48.5,116,0
511,M10510,L,300.5,309.6,1689,45.6,233,0
512,M10511,L,299.9,309.9,1490,67.2,188,0
513,M10512,L,299.5,309.4,1708,32.7,83,0
514,M10513,M,298.2,306.8,1589,32.5,9,0
