UDI,Product ID,Type,Air temperature [K],Process temperature [K],Air temperature [C],Process temperature [C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF
59,L47197,L,300.18,310.98,27.03,37.83,1367,41.57,214,0,0,0,0,0
60,L13955,L,299.24,307.7,26.09,34.55,1665,45.74,141,0,0,0,0,0
61,L46179,L,298.74,309.97,25.59,36.82,1627,25.59,3,0,0,0,0,0
62,L46904,L,303.27,312.64,30.12,39.49,1440,38.63,83,0,0,0,0,0
63,M76502,M,298.44,307.22,25.29,34.07,1674,34.17,6,0,0,0,0,0
64,L44519,L,301.47,312.17,28.32,39.02,1507,35.33,21,0,0,0,0,0
65,L72186,L,298.88,309.25,25.73,36.1,1496,25.67,43,0,0,0,0,0
66,L63988,L,299.08,308.08,25.93,34.93,1491,33.31,116,0,0,0,0,0
67,L99283,L,302.06,310.81,28.91,37.66,1110,46.54,92,0,0,0,0,0
68,M19662,M,299.24,309.05,26.09,35.9,1443,44.78,36,0,0,0,0,0
69,L60883,L,299.19,307.99,26.04,34.84,1660,37.88,95,0,0,0,0,0
70,H36843,H,302.27,311.2,29.12,38.05,1531,25.01,73,0,0,0,0,0
71,M54506,M,303.19,313.31,30.04,40.16,1310,40.64,98,0,0,0,0,0
72,L15968,L,301.29,310.32,28.14,37.17,1704,29.63,41,0,0,0,0,0
73,L69751,L,298.69,309.12,25.54,35.97,1483,54.28,146,0,0,0,0,0
74,M24981,M,298.98,310.47,25.83,37.32,1321,45.7,11,0,0,0,0,0
75,M76794,M,300.16,310.01,27.01,36.86,1921,21.21,93,0,0,0,0,0
76,M95276,M,300.64,310.77,27.49,37.62,1351,36.21,215,0,0,0,0,0
77,M67945,M,298.02,310.04,24.87,36.89,1689,30.9,101,0,0,0,0,0
78,L99415,L,301.45,310.26,28.3,37.11,1400,43.81,106,0,0,0,0,0
79,L13122,L,300.17,311.36,27.02,38.21,1559,40.64,16,0,0,0,0,0
80,L31981,L,296.57,307.64,23.42,34.49,1377,43.21,145,0,0,0,0,0
81,M11309,M,298.14,309.0,24.99,35.85,1318,41.79,225,0,0,0,0,0
82,M71759,M,298.99,310.28,25.84,37.13,1626,34.14,70,0,0,0,0,0
83,L24969,L,299.85,310.13,26.7,36.98,1606,34.65,94,0,0,0,0,0
84,L31682,L,303.78,313.2,30.63,40.05,1735,18.75,141,1,0,0,1,0
85,L46995,L,300.48,311.57,27.33,38.42,1529,36.98,22,0,0,0,0,0
86,L86796,L,298.32,309.45,25.17,36.3,1924,25.17,228,1,1,0,0,0
87,M10606,M,300.44,311.55,27.29,38.4,1582,23.0,112,0,0,0,0,0
88,M10673,M,299.3,309.34,26.15,36.19,1634,54.4,28,1,0,0,1,0
89,M71223,M,300.65,309.93,27.5,36.78,1297,46.66,80,0,0,0,0,0
90,L77656,L,301.16,311.35,28.01,38.2,1428,40.24,90,0,0,0,0,0
91,L27235,L,302.42,313.36,29.27,40.21,1626,32.27,83,0,0,0,0,0
92,M49937,M,299.95,310.98,26.8,37.83,1520,43.53,166,0,0,0,0,0
93,M77178,M,303.28,312.85,30.13,39.7,1568,27.25,83,0,0,0,0,0
94,L41398,L,301.82,312.13,28.67,38.98,1392,38.66,78,0,0,0,0,0
95,M38692,M,298.59,307.28,25.44,34.13,1556,29.2,77,0,0,0,0,0
96,L13625,L,304.42,315.4,31.27,42.25,1556,42.6,187,0,0,0,0,0
97,L23101,L,300.65,309.87,27.5,36.72,1328,36.52,74,0,0,0,0,0
98,L67360,L,298.33,309.12,25.18,35.97,1647,43.59,3,0,0,0,0,0
99,L81968,L,303.31,312.16,30.16,39.01,1237,45.51,88,0,0,0,0,0
100,L29786,L,304.16,315.19,31.01,42.04,1567,42.75,67,0,0,0,0,0
101,L36665,L,299.93,310.26,26.78,37.11,1844,34.27,218,0,0,0,0,0
102,M98047,M,298.99,308.21,25.84,35.06,1654,43.11,115,0,0,0,0,0
103,L75764,L,299.66,310.35,26.51,37.2,1653,27.18,56,0,0,0,0,0
104,L68499,L,301.43,310.84,28.28,37.69,1378,48.83,236,1,0,0,0,1
105,H10486,H,302.56,313.31,29.41,40.16,1845,16.16,59,1,0,0,1,0
106,L50958,L,301.14,310.87,27.99,37.72,1776,32.61,183,0,0,0,0,0
107,L47012,L,300.2,308.48,27.05,35.33,1387,36.93,156,0,0,0,0,0
108,M60414,M,303.0,312.01,29.85,38.86,1452,28.23,111,0,0,0,0,0
109,L40442,L,299.37,308.94,26.22,35.79,1755,25.51,97,0,0,0,0,0
110,L76846,L,302.06,313.43,28.91,40.28,1849,25.86,209,0,0,0,0,0
111,L44740,L,299.42,310.33,26.27,37.18,1314,42.04,114,0,0,0,0,0
112,L33939,L,300.86,312.49,27.71,39.34,1359,37.95,90,0,0,0,0,0
113,H34830,H,299.77,311.43,26.62,38.28,1510,38.59,85,0,0,0,0,0
114,M89119,M,299.89,309.35,26.74,36.2,1155,42.96,66,0,0,0,0,0
115,M94850,M,299.25,309.06,26.1,35.91,1538,33.43,98,0,0,0,0,0
116,M44919,M,302.69,312.28,29.54,39.13,1743,30.57,29,0,0,0,0,0
117,M53305,M,298.53,307.86,25.38,34.71,1283,46.11,16,0,0,0,0,0
118,L69703,L,298.52,306.68,25.37,33.53,1557,43.58,130,0,0,0,0,0
119,M77037,M,304.24,314.23,31.09,41.08,1433,46.81,109,0,0,0,0,0
120,L49759,L,301.96,310.67,28.81,37.52,1822,33.35,42,0,0,0,0,0
121,M29395,M,295.23,305.2,22.08,32.05,1435,43.36,26,0,0,0,0,0
122,M25217,M,298.87,310.99,25.72,37.84,1801,34.31,34,0,0,0,0,0
123,L52483,L,296.38,305.87,23.23,32.72,1430,37.54,76,0,0,0,0,0
124,L28264,L,298.1,308.29,24.95,35.14,1670,41.51,108,0,0,0,0,0
125,L44342,L,293.72,304.63,20.57,31.48,1579,28.97,46,0,0,0,0,0
126,L21497,L,299.73,310.01,26.58,36.86,1511,21.54,181,1,0,0,1,0
127,M33212,M,297.72,308.01,24.57,34.86,1397,32.69,46,0,0,0,0,0
128,M26702,M,300.12,309.76,26.97,36.61,1592,47.23,30,0,0,0,0,0
129,L10534,L,296.75,306.52,23.6,33.37,1458,36.94,239,1,1,0,0,0
130,L86076,L,300.17,309.21,27.02,36.06,1414,42.71,107,0,0,0,0,0
131,L75503,L,299.17,310.02,26.02,36.87,1793,29.77,41,0,0,0,0,0
132,L58374,L,303.0,311.26,29.85,38.11,1631,39.63,215,0,0,0,0,0
133,L73974,L,302.82,313.79,29.67,40.64,1648,35.34,55,0,0,0,0,0
134,L91411,L,301.57,310.17,28.42,37.02,1466,38.52,222,0,0,0,0,0
135,H63466,H,299.35,310.31,26.2,37.16,1502,43.05,29,0,0,0,0,0
136,L61747,L,303.97,313.62,30.82,40.47,1491,34.69,202,0,0,0,0,0
137,L16895,L,296.89,305.66,23.74,32.51,1594,38.92,44,0,0,0,0,0
138,M80255,M,297.19,307.77,24.04,34.62,1647,33.38,225,1,1,0,0,0
139,L70744,L,299.83,310.76,26.68,37.61,1530,36.6,138,0,0,0,0,0
140,H20055,H,304.51,314.07,31.36,40.92,1396,34.49,46,0,0,0,0,0
141,H17757,H,299.6,310.32,26.45,37.17,1668,32.62,203,0,0,0,0,0
142,L53828,L,299.63,307.35,26.48,34.2,1541,32.85,94,0,0,0,0,0
143,L61312,L,297.12,305.8,23.97,32.65,1283,53.7,176,0,0,0,0,0
144,L13778,L,301.89,313.18,28.74,40.03,1161,35.86,154,0,0,0,0,0
145,L25283,L,301.91,311.68,28.76,38.53,1587,43.21,171,0,0,0,0,0
146,L53756,L,301.58,309.72,28.43,36.57,1390,27.27,82,0,0,0,0,0
147,M47257,M,298.74,308.04,25.59,34.89,1610,39.88,225,1,1,0,0,0
148,L74887,L,298.59,307.66,25.44,34.51,1399,34.25,134,0,0,0,0,0
149,L33697,L,297.41,307.25,24.26,34.1,1558,41.3,19,0,0,0,0,0
150,L77493,L,300.17,309.8,27.02,36.65,1469,38.04,16,0,0,0,0,0
151,H48170,H,297.84,308.02,24.69,34.87,1842,19.65,177,0,0,0,0,0
152,L53933,L,297.65,307.58,24.5,34.43,1701,44.55,204,0,0,0,0,0
153,L80729,L,299.15,310.51,26.0,37.36,1771,38.57,167,0,0,0,0,0
154,L47159,L,299.02,309.45,25.87,36.3,1539,41.25,67,0,0,0,0,0
155,H31607,H,298.92,309.38,25.77,36.23,1679,29.0,54,0,0,0,0,0
156,L12750,L,300.93,312.1,27.78,38.95,1551,43.43,136,0,0,0,0,0
157,M17046,M,300.16,309.77,27.01,36.62,1792,21.7,47,0,0,0,0,0
158,M31130,M,299.42,308.16,26.27,35.01,1522,19.82,91,1,0,0,1,0
159,L52998,L,300.37,311.57,27.22,38.42,1290,31.9,151,0,0,0,0,0
160,M82831,M,298.02,308.15,24.87,35.0,1185,40.97,68,0,0,0,0,0
161,L53835,L,300.21,310.35,27.06,37.2,1827,25.32,90,0,0,0,0,0
162,M65189,M,300.3,309.67,27.15,36.52,1619,31.92,87,0,0,0,0,0
163,M56917,M,296.99,306.38,23.84,33.23,1630,32.02,111,0,0,0,0,0
164,L17507,L,301.99,312.84,28.84,39.69,1796,26.71,162,0,0,0,0,0
165,L82695,L,298.24,309.22,25.09,36.07,1246,29.06,188,0,0,0,0,0
166,M54731,M,300.18,310.96,27.03,37.81,1472,40.45,160,0,0,0,0,0
167,L57566,L,302.33,313.12,29.18,39.97,1494,36.24,6,0,0,0,0,0
168,L41217,L,301.85,312.42,28.7,39.27,1665,28.84,215,1,1,0,0,0
169,L66732,L,300.07,310.2,26.92,37.05,1414,51.71,139,0,0,0,0,0
170,L72366,L,299.28,309.1,26.13,35.95,1325,41.31,221,0,0,0,0,0
171,M79681,M,301.9,313.11,28.75,39.96,1323,43.77,231,1,1,0,0,0
172,L92765,L,301.35,310.98,28.2,37.83,1736,39.37,112,0,0,0,0,0
173,L72717,L,298.76,309.13,25.61,35.98,1405,28.86,220,0,0,0,0,0
174,L92440,L,298.41,307.61,25.26,34.46,1438,39.65,88,0,0,0,0,0
175,M65639,M,295.86,305.2,22.71,32.05,1646,41.15,62,0,0,0,0,0
176,L87028,L,300.31,310.07,27.16,36.92,1413,39.83,18,0,0,0,0,0
177,M10210,M,299.83,309.03,26.68,35.88,1237,35.91,108,0,0,0,0,0
178,L98604,L,302.27,313.07,29.12,39.92,1258,41.68,165,0,0,0,0,0
179,H48962,H,300.72,309.37,27.57,36.22,1525,39.08,234,0,0,0,0,0
180,L69700,L,302.67,312.77,29.52,39.62,1622,18.47,125,1,0,0,1,0
181,L35767,L,298.61,308.74,25.46,35.59,1500,27.39,176,0,0,0,0,0
182,L32975,L,302.28,310.47,29.13,37.32,1610,51.37,215,1,1,0,0,1
183,H71106,H,298.94,308.5,25.79,35.35,1253,49.61,130,0,0,0,0,0
184,M80970,M,301.56,311.81,28.41,38.66,1265,57.18,40,0,0,0,0,0
185,L86895,L,297.08,307.51,23.93,34.36,1929,36.63,204,0,0,0,0,0
186,M84104,M,300.47,310.27,27.32,37.12,1751,35.88,138,0,0,0,0,0
187,M27172,M,296.03,306.71,22.88,33.56,1670,31.85,182,0,0,0,0,0
188,L27635,L,299.47,309.36,26.32,36.21,1420,43.41,158,0,0,0,0,0
189,L57899,L,300.88,310.89,27.73,37.74,1493,49.97,15,0,0,0,0,0
190,L70155,L,298.96,309.21,25.81,36.06,1535,43.94,41,0,0,0,0,0
191,L50997,L,297.9,308.83,24.75,35.68,1765,33.8,69,0,0,0,0,0
192,M60357,M,301.69,311.02,28.54,37.87,1605,34.31,68,0,0,0,0,0
193,H33173,H,299.79,309.31,26.64,36.16,1627,39.2,201,0,0,0,0,0
194,M20052,M,299.02,308.35,25.87,35.2,1506,33.8,144,0,0,0,0,0
195,L35074,L,300.08,309.75,26.93,36.6,1674,38.22,20,0,0,0,0,0
196,L73255,L,305.27,316.7,32.12,43.55,1588,30.5,93,0,0,0,0,0
197,M11570,M,302.31,312.88,29.16,39.73,1543,34.31,134,0,0,0,0,0
198,M42540,M,302.33,311.19,29.18,38.04,1405,32.56,60,0,0,0,0,0
199,M96895,M,300.87,310.27,27.72,37.12,1515,34.3,10,1,0,0,0,0
200,M86749,M,300.33,310.71,27.18,37.56,1346,37.1,91,0,0,0,0,0
201,M91122,M,295.21,304.3,22.06,31.15,1528,51.03,111,0,0,0,0,0
202,L45779,L,298.64,307.92,25.49,34.77,1551,29.8,217,1,1,0,0,0
203,L84415,L,299.04,310.38,25.89,37.23,1114,54.5,218,1,1,0,0,1
204,M71159,M,296.25,305.64,23.1,32.49,1495,30.76,120,0,0,0,0,0
205,M57005,M,297.69,308.64,24.54,35.49,1329,43.48,113,0,0,0,0,0
206,L65337,L,296.04,307.29,22.89,34.14,1622,37.64,154,0,0,0,0,0
207,L92062,L,299.92,309.19,26.77,36.04,1647,19.99,62,1,0,0,1,0
208,M40378,M,301.64,310.75,28.49,37.6,1460,28.05,69,0,0,0,0,0
209,L10531,L,302.21,311.94,29.06,38.79,1631,27.49,1,0,0,0,0,0
210,L86608,L,300.83,309.74,27.68,36.59,1638,24.54,19,0,0,0,0,0
211,L57288,L,298.07,308.19,24.92,35.04,1495,39.0,43,0,0,0,0,0
212,M73889,M,296.14,305.93,22.99,32.78,1804,33.71,154,0,0,0,0,0
213,M70739,M,296.49,306.85,23.34,33.7,1408,32.19,51,0,0,0,0,0
214,L96043,L,297.46,308.86,24.31,35.71,1792,32.96,30,0,0,0,0,0
215,M31190,M,298.22,309.04,25.07,35.89,1496,34.92,148,0,0,0,0,0
216,L86045,L,299.68,310.17,26.53,37.02,1387,40.5,156,0,0,0,0,0
217,L95799,L,297.97,306.01,24.82,32.86,1473,33.86,14,0,0,0,0,0
218,M93707,M,300.68,311.12,27.53,37.97,1343,46.58,185,0,0,0,0,0
219,M11273,M,299.54,311.26,26.39,38.11,1672,47.34,145,0,0,0,0,0
220,M63541,M,300.02,307.01,26.87,33.86,1255,51.87,95,1,0,1,0,0
221,M98889,M,302.28,312.97,29.13,39.82,1778,43.37,236,0,0,0,0,0
222,L38593,L,297.64,307.48,24.49,34.33,1371,30.56,2,0,0,0,0,0
223,L59349,L,300.84,309.99,27.69,36.84,1681,28.67,131,0,0,0,0,0
224,L19404,L,299.97,310.77,26.82,37.62,1539,41.75,38,0,0,0,0,0
225,L51113,L,299.33,311.04,26.18,37.89,1582,48.27,79,0,0,0,0,0
226,L21890,L,301.77,312.55,28.62,39.4,1432,45.22,32,0,0,0,0,0
227,H79434,H,301.76,311.39,28.61,38.24,1597,27.67,160,0,0,0,0,0
228,L71096,L,298.11,307.16,24.96,34.01,1559,33.28,96,0,0,0,0,0
229,M20947,M,299.64,309.78,26.49,36.63,1280,47.43,237,1,1,0,0,0
230,M26603,M,300.56,311.44,27.41,38.29,1367,40.61,157,0,0,0,0,0
231,M59612,M,299.45,309.07,26.3,35.92,1440,33.39,220,1,1,0,0,0
232,L53617,L,301.17,310.88,28.02,37.73,1403,38.52,58,0,0,0,0,0
233,L65505,L,300.56,313.38,27.41,40.23,1754,32.55,77,0,0,0,0,0
234,L68519,L,303.67,314.74,30.52,41.59,1536,28.62,87,0,0,0,0,0
235,L87425,L,296.94,308.09,23.79,34.94,1399,48.84,201,0,0,0,0,0
236,M79769,M,299.76,308.29,26.61,35.14,1449,36.02,51,0,0,0,0,0
237,L22225,L,298.18,307.48,25.03,34.33,1447,39.02,227,1,1,0,0,0
238,L29370,L,301.21,311.28,28.06,38.13,1485,46.87,10,0,0,0,0,0
239,M84550,M,296.77,305.76,23.62,32.61,1347,41.54,214,0,0,0,0,0
240,L96748,L,300.69,312.29,27.54,39.14,1393,48.99,108,0,0,0,0,0
241,H74064,H,298.74,310.15,25.59,37.0,1669,26.09,126,0,0,0,0,0
242,H18378,H,298.53,308.0,25.38,34.85,1567,40.02,239,1,1,0,0,0
243,H84585,H,297.11,308.89,23.96,35.74,1508,44.7,209,0,0,0,0,0
244,L15495,L,299.07,309.07,25.92,35.92,1535,30.68,217,1,1,0,0,0
245,L12439,L,302.17,314.76,29.02,41.61,1527,36.09,141,0,0,0,0,0
246,H69638,H,299.95,310.09,26.8,36.94,1498,36.98,230,1,1,0,0,0
247,L77155,L,301.26,311.83,28.11,38.68,1625,36.93,165,0,0,0,0,0
248,H81189,H,303.33,314.73,30.18,41.58,1613,39.33,197,0,0,0,0,0
249,H60611,H,300.53,311.81,27.38,38.66,1260,38.19,173,0,0,0,0,0
250,M27711,M,298.88,309.39,25.73,36.24,1512,37.41,187,0,0,0,0,0
251,L93063,L,300.93,310.79,27.78,37.64,1271,57.79,153,0,0,0,0,0
252,L12135,L,298.91,309.43,25.76,36.28,1646,43.24,174,0,0,0,0,0
253,M32933,M,298.99,308.17,25.84,35.02,1669,40.67,105,0,0,0,0,0
254,L50918,L,296.96,307.11,23.81,33.96,1428,38.58,170,0,0,0,0,0
255,L62699,L,301.85,310.74,28.7,37.59,1515,54.86,66,0,0,0,0,0
256,L70345,L,299.23,307.45,26.08,34.3,1165,57.4,152,1,0,1,0,0
257,H22201,H,300.36,310.41,27.21,37.26,1705,33.9,126,0,0,0,0,0
258,M23860,M,297.93,309.19,24.78,36.04,1659,36.3,216,0,0,0,0,0
259,L75684,L,300.87,311.8,27.72,38.65,1736,29.33,162,0,0,0,0,0
260,L93451,L,298.48,308.39,25.33,35.24,1795,35.06,143,0,0,0,0,0
261,M64926,M,299.72,311.46,26.57,38.31,1321,48.12,75,0,0,0,0,0
262,H22770,H,301.76,311.19,28.61,38.04,1690,39.52,207,0,0,0,0,0
263,L43326,L,301.58,309.66,28.43,36.51,1794,30.49,13,0,0,0,0,0
264,L48158,L,299.96,307.77,26.81,34.62,1273,33.2,216,1,0,1,0,0
265,M78181,M,296.46,305.28,23.31,32.13,1505,40.0,157,0,0,0,0,0
266,M38032,M,305.99,316.8,32.84,43.65,1471,44.59,45,0,0,0,0,0
267,M95427,M,303.49,312.86,30.34,39.71,1685,26.18,217,0,0,0,0,0
268,M39145,M,301.45,311.91,28.3,38.76,1116,50.61,78,0,0,0,0,0
269,L61325,L,298.49,310.14,25.34,36.99,1853,41.66,40,0,0,0,0,0
270,L23243,L,299.77,308.67,26.62,35.52,1515,28.18,77,0,0,0,0,0
271,M79120,M,298.91,309.39,25.76,36.24,1695,31.53,231,0,0,0,0,0
272,M37644,M,302.53,313.07,29.38,39.92,1524,49.48,181,0,0,0,0,0
273,M53031,M,300.53,309.66,27.38,36.51,1621,36.61,220,0,0,0,0,0
274,H91665,H,298.43,309.79,25.28,36.64,1129,46.55,72,0,0,0,0,0
275,L19107,L,299.06,308.77,25.91,35.62,1468,38.98,20,0,0,0,0,0
276,L99525,L,302.24,311.86,29.09,38.71,1683,40.64,135,0,0,0,0,0
277,M70306,M,303.2,315.31,30.05,42.16,1586,34.51,116,0,0,0,0,0
278,M95016,M,303.06,313.58,29.91,40.43,1249,50.67,173,0,0,0,0,0
279,M44816,M,301.51,312.44,28.36,39.29,1546,38.95,130,0,0,0,0,0
280,M21870,M,299.49,310.85,26.34,37.7,1392,43.71,95,0,0,0,0,0
281,M25417,M,293.52,302.87,20.37,29.72,1377,46.92,1,0,0,0,0,0
282,L98643,L,300.59,311.84,27.44,38.69,1269,42.8,112,0,0,0,0,0
283,L18962,L,300.0,309.49,26.85,36.34,1643,27.31,29,0,0,0,0,0
284,L95493,L,300.28,309.74,27.13,36.59,1730,36.92,221,0,0,0,0,0
285,L45090,L,300.11,309.84,26.96,36.69,1906,29.0,221,0,0,0,0,0
286,L18211,L,297.35,306.73,24.2,33.58,1277,41.28,193,0,0,0,0,0
287,L49825,L,301.11,311.94,27.96,38.79,1669,38.53,38,0,0,0,0,0
288,L85244,L,301.26,311.53,28.11,38.38,1681,44.31,35,0,0,0,0,0
289,L37064,L,301.36,310.87,28.21,37.72,1433,38.73,135,0,0,0,0,0
290,L92909,L,301.89,312.57,28.74,39.42,1374,41.75,175,0,0,0,0,0
291,L18081,L,301.21,310.93,28.06,37.78,1345,33.15,217,1,1,0,0,0
292,L27783,L,299.18,308.85,26.03,35.7,1443,37.93,215,0,0,0,0,0
293,M96276,M,299.86,309.91,26.71,36.76,1570,38.25,37,0,0,0,0,0
294,L29321,L,300.18,310.65,27.03,37.5,1773,32.15,239,0,0,0,0,0
295,L21090,L,300.22,310.61,27.07,37.46,1728,30.25,38,0,0,0,0,0
296,L11683,L,302.0,311.63,28.85,38.48,1252,51.56,202,0,0,0,0,0
297,M46818,M,301.29,312.13,28.14,38.98,1397,41.48,141,0,0,0,0,0
298,L39034,L,304.15,313.93,31.0,40.78,1762,53.22,163,1,0,0,1,0
299,M58458,M,304.41,313.76,31.26,40.61,1407,42.38,145,0,0,0,0,0
300,L44444,L,300.16,308.69,27.01,35.54,1525,15.6,209,1,0,0,1,0
301,L32591,L,292.33,303.31,19.18,30.16,1237,37.44,153,0,0,0,0,0
302,L99043,L,302.47,312.49,29.32,39.34,1737,37.25,204,0,0,0,0,0
303,L17081,L,298.92,309.13,25.77,35.98,1200,42.59,37,0,0,0,0,0
304,M45201,M,298.4,309.44,25.25,36.29,1248,41.28,208,0,0,0,0,0
305,M30913,M,299.2,308.73,26.05,35.58,1719,23.42,238,0,0,0,0,0
306,H87045,H,299.11,307.73,25.96,34.58,1871,26.81,159,0,0,0,0,0
307,L37912,L,301.22,311.29,28.07,38.14,1484,40.16,234,1,1,0,0,0
308,L28860,L,296.88,307.19,23.73,34.04,1527,40.61,53,0,0,0,0,0
309,M78934,M,297.84,307.58,24.69,34.43,1694,25.66,199,0,0,0,0,0
310,L17287,L,300.69,312.16,27.54,39.01,1586,42.58,41,0,0,0,0,0
311,L95502,L,301.25,308.76,28.1,35.61,1470,29.45,124,0,0,0,0,0
312,L40211,L,301.28,312.4,28.13,39.25,1450,43.02,159,0,0,0,0,0
313,L15359,L,298.43,309.22,25.28,36.07,1261,48.14,158,0,0,0,0,0
314,H41041,H,298.04,308.5,24.89,35.35,1576,28.89,161,0,0,0,0,0
315,M98150,M,298.99,305.65,25.84,32.5,1519,29.3,77,0,0,0,0,0
316,M29780,M,300.48,311.76,27.33,38.61,1458,42.35,234,1,1,0,0,0
317,L71714,L,302.97,311.94,29.82,38.79,1360,37.66,2,0,0,0,0,0
318,L43054,L,295.91,305.4,22.76,32.25,1377,40.07,149,0,0,0,0,0
319,L96019,L,299.56,309.39,26.41,36.24,1643,40.37,208,0,0,0,0,0
320,L39574,L,297.33,307.74,24.18,34.59,1689,37.75,214,0,0,0,0,0
321,L67696,L,296.7,307.33,23.55,34.18,1478,31.44,173,0,0,0,0,0
